fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
160314,2025-10-22,1.301,3.330,2025-10-22,1.309,2025-10-22,1.3093,,0.02,-0.61,,6661,0,0.000,-0.43,0,160314,
160314,2025-10-23,1.293,15.170,2025-10-23,1.299,2025-10-23,1.3124,,1.03,-0.46,,6661,0,0.000,0.26,0,160314,
160314,2025-10-24,1.324,17.920,2025-10-24,1.345,2025-10-24,1.3120,,-2.45,-1.56,,6660,-1,-0.020,1.00,0,160314,
160314,2025-10-27,1.35,14.010,2025-10-27,1.361,2025-10-27,1.3569,,-0.30,-0.81,,6660,0,0.000,0.89,0,160314,
160314,2025-10-28,1.351,11.430,2025-10-28,1.347,2025-10-28,1.3454,,-0.12,0.3,,6660,0,0.000,-1.15,0,160314,
160314,2025-10-29,1.36,14.950,2025-10-29,1.378,2025-10-29,1.3770,,-0.07,-1.31,,6657,-3,-0.050,2.23,0,160314,
160314,2025-10-30,1.349,19.410,2025-10-30,1.351,2025-10-30,1.3641,,0.97,-0.15,,6657,0,0.000,-1.01,0,160314,
160314,2025-10-31,1.34,1.830,2025-10-31,1.326,2025-10-31,1.3397,,1.03,1.06,,6656,-1,-0.020,-0.84,0,160314,
160314,2025-11-03,1.316,18.490,2025-11-03,1.339,2025-11-03,1.3345,,-0.34,-1.72,,6656,0,0.000,0.64,0,160314,
160314,2025-11-04,1.32,0.600,2025-11-04,1.317,2025-11-04,1.3254,,0.64,0.23,,6651,-5,-0.080,-1.02,0,160314,
160314,2025-11-05,1.319,0.800,2025-11-05,1.321,2025-11-05,1.3283,,0.55,-0.15,,6649,-2,-0.030,0.86,0,160314,
160314,2025-11-06,1.333,4.450,2025-11-06,1.344,2025-11-06,1.3375,,-0.48,-0.82,,6649,0,0.000,1.25,0,160314,
160314,2025-11-07,1.325,1.860,2025-11-07,1.332,2025-11-07,1.3380,,0.45,-0.53,,6649,0,0.000,-0.44,0,160314,
160314,2025-11-10,1.322,5.230,2025-11-10,1.333,2025-11-10,1.3311,,-0.14,-0.83,,6649,0,0.000,-0.07,0,160314,
160314,2025-11-11,1.326,3.660,2025-11-11,1.321,2025-11-11,1.3223,,0.10,0.38,,6649,0,0.000,-0.80,0,160314,
160314,2025-11-12,1.305,6.520,2025-11-12,1.315,2025-11-12,1.3143,,-0.05,-0.76,,6649,0,0.000,-0.51,0,160314,
160314,2025-11-13,1.321,9.090,2025-11-13,1.337,2025-11-13,1.3394,,0.18,-1.2,,6649,0,0.000,1.86,0,160314,
160314,2025-11-14,1.304,5.430,2025-11-14,1.306,2025-11-14,1.3136,,0.58,-0.15,,6649,0,0.000,-1.75,0,160314,
160314,2025-11-17,1.293,4.620,2025-11-17,1.298,2025-11-17,1.2943,,-0.29,-0.39,,6649,0,0.000,-0.90,0,160314,
160314,2025-11-18,1.295,1.230,2025-11-18,1.284,2025-11-18,1.2865,,0.19,0.86,,6649,0,0.000,-0.89,0,160314,
160314,2025-11-19,1.286,3.230,2025-11-19,1.278,2025-11-19,1.2851,,0.56,0.63,,6649,0,0.000,0.09,0,160314,
160314,2025-11-20,1.263,6.060,2025-11-20,1.269,2025-11-20,1.2706,,0.13,-0.47,,6649,0,0.000,-0.58,0,160314,
160314,2025-11-21,1.239,10.250,2025-11-21,1.233,2025-11-21,1.2337,,0.06,0.49,,6649,0,0.000,-2.78,0,160314,
160314,2025-11-24,1.245,14.050,2025-11-24,1.236,2025-11-24,1.2381,,0.17,0.73,,6649,0,0.000,0.41,0,160314,
160314,2025-11-25,1.254,15.010,2025-11-25,1.259,2025-11-25,1.2514,,-0.60,-0.4,,6649,0,0.000,1.24,0,160314,
160314,2025-11-26,1.267,31.310,2025-11-26,1.271,2025-11-26,1.2657,,-0.42,-0.31,,6649,0,0.000,0.53,0,160314,
160314,2025-11-27,1.261,9.250,2025-11-27,1.269,2025-11-27,1.2663,,-0.21,-0.63,,6649,0,0.000,-0.37,0,160314,
160314,2025-11-28,1.265,0.620,2025-11-28,1.276,2025-11-28,1.2743,,-0.13,-0.86,,6649,0,0.000,0.41,0,160314,
160314,2025-12-01,1.279,1.030,2025-12-01,1.287,2025-12-01,1.2893,,0.18,-0.62,,6649,0,0.000,1.04,0,160314,
